App,Tracker,Count,Women APK
 Step Counter,trackers,1,No
Pedometer StepGo,detected_trackers,1,No
Pedometer StepGo,total_trackers,1,No
Pedometer StepGo,trackers,1,No
iTOUCH,detected_trackers,1,No
iTOUCH,total_trackers,1,No
iTOUCH,trackers,1,No
How We Feel,detected_trackers,1,No
How We Feel,total_trackers,1,No
How We Feel,trackers,1,No
My Molina,detected_trackers,1,No
My Molina,total_trackers,1,No
My Molina,trackers,1,No
Carbon,detected_trackers,1,No
Carbon,total_trackers,1,No
Carbon,trackers,1,No
Pawp,detected_trackers,1,No
Pawp,total_trackers,1,No
Pawp,trackers,1,No
YAZIO,detected_trackers,1,No
YAZIO,total_trackers,1,No
YAZIO,trackers,1,No
Pharmacy,detected_trackers,1,No
Pharmacy,total_trackers,1,No
Pharmacy,trackers,1,No
Health Tracker Suite,detected_trackers,1,No
Health Tracker Suite,total_trackers,1,No
Health Tracker Suite,trackers,1,No
CenterWell Pharmacy,detected_trackers,1,No
CenterWell Pharmacy,total_trackers,1,No
CenterWell Pharmacy,trackers,1,No
Cronometer,detected_trackers,1,No
Cronometer,total_trackers,1,No
Cronometer,trackers,1,No
MedBridge GO,detected_trackers,1,No
MedBridge GO,total_trackers,1,No
MedBridge GO,trackers,1,No
MacroFactor,detected_trackers,1,No
MacroFactor,total_trackers,1,No
MacroFactor,trackers,1,No
Providence,detected_trackers,1,No
Providence,total_trackers,1,No
Providence,trackers,1,No
LabcorpPatient,detected_trackers,1,No
LabcorpPatient,total_trackers,1,No
LabcorpPatient,trackers,1,No
GoodRx,detected_trackers,1,No
GoodRx,total_trackers,1,No
GoodRx,trackers,1,No
GlassesOn,detected_trackers,1,No
GlassesOn,total_trackers,1,No
GlassesOn,trackers,1,No
Fitbod,detected_trackers,1,No
Fitbod,total_trackers,1,No
Fitbod,trackers,1,No
Hello Heart,detected_trackers,1,No
Hello Heart,total_trackers,1,No
Hello Heart,trackers,1,No
Prisma Health GO,detected_trackers,1,No
Prisma Health GO,total_trackers,1,No
Prisma Health GO,trackers,1,No
Healthy Benefits,detected_trackers,1,No
Healthy Benefits,total_trackers,1,No
Healthy Benefits,trackers,1,No
Reverse Health,detected_trackers,1,No
Reverse Health,total_trackers,1,No
Reverse Health,trackers,1,No
MyZio,detected_trackers,1,No
MyZio,total_trackers,1,No
MyZio,trackers,1,No
VA Rx Refill,detected_trackers,1,No
VA Rx Refill,total_trackers,1,No
VA Rx Refill,trackers,1,No
Virta,detected_trackers,1,No
Virta,total_trackers,1,No
Virta,trackers,1,No
TruHearing App,detected_trackers,1,No
TruHearing App,total_trackers,1,No
TruHearing App,trackers,1,No
Personify Health,detected_trackers,1,No
Personify Health,total_trackers,1,No
Personify Health,trackers,1,No
GENEFIT,detected_trackers,1,No
GENEFIT,total_trackers,1,No
GENEFIT,trackers,1,No
DanceFitme,detected_trackers,1,No
DanceFitme,total_trackers,1,No
DanceFitme,trackers,1,No
Nimble,detected_trackers,1,No
Nimble,total_trackers,1,No
Nimble,trackers,1,No
Texas Health MyChart,detected_trackers,1,No
Texas Health MyChart,total_trackers,1,No
Texas Health MyChart,trackers,1,No
MyMountSinai,detected_trackers,1,No
MyMountSinai,total_trackers,1,No
MyMountSinai,trackers,1,No
Sharp,detected_trackers,1,No
Sharp,total_trackers,1,No
Sharp,trackers,1,No
Samsung Health,detected_trackers,1,No
Samsung Health,total_trackers,1,No
Samsung Health,trackers,1,No
 Pedometer,detected_trackers,1,No
 Pedometer,total_trackers,1,No
 Pedometer,trackers,1,No
Blood Pressure Hub,detected_trackers,1,No
Blood Pressure Hub,total_trackers,1,No
Blood Pressure Hub,trackers,1,No
Heart Rate,detected_trackers,1,No
Heart Rate,total_trackers,1,No
Heart Rate,trackers,1,No
Body Temperature,detected_trackers,1,No
Body Temperature,total_trackers,1,No
Body Temperature,trackers,1,No
Sweatcoin,detected_trackers,1,No
Sweatcoin,total_trackers,1,No
Sweatcoin,trackers,1,No
Piedmont Now,detected_trackers,1,No
Piedmont Now,total_trackers,1,No
Piedmont Now,trackers,1,No
Wearfit Pro,detected_trackers,1,No
Wearfit Pro,total_trackers,1,No
Wearfit Pro,trackers,1,No
JustFit,detected_trackers,1,No
JustFit,total_trackers,1,No
JustFit,trackers,1,No
Sleep Sounds,detected_trackers,1,No
Sleep Sounds,total_trackers,1,No
Sleep Sounds,trackers,1,No
Evidation,detected_trackers,1,No
Evidation,total_trackers,1,No
Evidation,trackers,1,No
BCBSTX,detected_trackers,1,No
BCBSTX,total_trackers,1,No
BCBSTX,trackers,1,No
Wellsky PC,detected_trackers,1,No
Wellsky PC,total_trackers,1,No
Wellsky PC,trackers,1,No
myPrivia,detected_trackers,1,No
myPrivia,total_trackers,1,No
myPrivia,trackers,1,No
Eko,detected_trackers,1,No
Eko,total_trackers,1,No
Eko,trackers,1,No
Spruce,detected_trackers,1,No
Spruce,total_trackers,1,No
Spruce,trackers,1,No
BloodPressureTracker,detected_trackers,1,No
BloodPressureTracker,total_trackers,1,No
BloodPressureTracker,trackers,1,No
Motivational Quotes,detected_trackers,1,No
Motivational Quotes,total_trackers,1,No
Motivational Quotes,trackers,1,No
Ovia Pregnancy,detected_trackers,1,Yes
Ovia Pregnancy,total_trackers,1,Yes
Ovia Pregnancy,trackers,1,Yes
Blood Sugar,detected_trackers,1,No
Blood Sugar,total_trackers,1,No
Blood Sugar,trackers,1,No
Voidpet Garden,detected_trackers,1,No
Voidpet Garden,total_trackers,1,No
Voidpet Garden,trackers,1,No
APPatient,detected_trackers,1,No
APPatient,total_trackers,1,No
APPatient,trackers,1,No
SleepTracker,detected_trackers,1,No
SleepTracker,total_trackers,1,No
SleepTracker,trackers,1,No
Mindbody,detected_trackers,1,No
Mindbody,total_trackers,1,No
Mindbody,trackers,1,No
U​HC,detected_trackers,1,No
U​HC,total_trackers,1,No
U​HC,trackers,1,No
MHAV,detected_trackers,1,No
MHAV,total_trackers,1,No
MHAV,trackers,1,No
Speech Assistant,detected_trackers,1,No
Speech Assistant,total_trackers,1,No
Speech Assistant,trackers,1,No
Imprivata ID,detected_trackers,1,No
Imprivata ID,total_trackers,1,No
Imprivata ID,trackers,1,No
Sleep Monitor,detected_trackers,1,No
Sleep Monitor,total_trackers,1,No
Sleep Monitor,trackers,1,No
RxSaver,detected_trackers,1,No
RxSaver,total_trackers,1,No
RxSaver,trackers,1,No
WalkTask,detected_trackers,1,No
WalkTask,total_trackers,1,No
WalkTask,trackers,1,No
DietAI,detected_trackers,1,No
DietAI,total_trackers,1,No
DietAI,trackers,1,No
Lose It!,detected_trackers,1,No
Lose It!,total_trackers,1,No
Lose It!,trackers,1,No
Cal AI,detected_trackers,1,No
Cal AI,total_trackers,1,No
Cal AI,trackers,1,No
STIM onTrack,detected_trackers,1,No
STIM onTrack,total_trackers,1,No
STIM onTrack,trackers,1,No
Endel,detected_trackers,1,No
Endel,total_trackers,1,No
Endel,trackers,1,No
My Highmark,detected_trackers,1,No
My Highmark,total_trackers,1,No
My Highmark,trackers,1,No
Think Dirty,detected_trackers,1,No
Think Dirty,total_trackers,1,No
Think Dirty,trackers,1,No
FitCloudPro,detected_trackers,1,No
FitCloudPro,total_trackers,1,No
FitCloudPro,trackers,1,No
LiveWell,detected_trackers,1,No
LiveWell,total_trackers,1,No
LiveWell,trackers,1,No
PFMobile,detected_trackers,1,No
PFMobile,total_trackers,1,No
PFMobile,trackers,1,No
Ascension One,detected_trackers,1,No
Ascension One,total_trackers,1,No
Ascension One,trackers,1,No
Pathway,detected_trackers,1,No
Pathway,total_trackers,1,No
Pathway,trackers,1,No
TH MyChart,detected_trackers,1,No
TH MyChart,total_trackers,1,No
TH MyChart,trackers,1,No
Client Portal,detected_trackers,1,No
Client Portal,total_trackers,1,No
Client Portal,trackers,1,No
Banner Health,detected_trackers,1,No
Banner Health,total_trackers,1,No
Banner Health,trackers,1,No
Finch,detected_trackers,1,No
Finch,total_trackers,1,No
Finch,trackers,1,No
futurhealth,detected_trackers,1,No
futurhealth,total_trackers,1,No
futurhealth,trackers,1,No
hims,detected_trackers,1,No
hims,total_trackers,1,No
hims,trackers,1,No
 Home Workout,detected_trackers,1,No
 Home Workout,total_trackers,1,No
 Home Workout,trackers,1,No
Smart 3D,detected_trackers,1,No
Smart 3D,total_trackers,1,No
Smart 3D,trackers,1,No
RTRT.me,detected_trackers,1,No
RTRT.me,total_trackers,1,No
RTRT.me,trackers,1,No
Health Tracker,detected_trackers,1,No
Health Tracker,total_trackers,1,No
Health Tracker,trackers,1,No
MomiTalk,detected_trackers,1,No
MomiTalk,total_trackers,1,No
MomiTalk,trackers,1,No
Drugs.com Medication Guide,detected_trackers,1,No
Drugs.com Medication Guide,total_trackers,1,No
Drugs.com Medication Guide,trackers,1,No
WW,detected_trackers,1,No
WW,total_trackers,1,No
WW,trackers,1,No
FeverCheck,detected_trackers,1,No
FeverCheck,total_trackers,1,No
FeverCheck,trackers,1,No
WatchPAT,detected_trackers,1,No
WatchPAT,total_trackers,1,No
WatchPAT,trackers,1,No
OTC Health Solutions,detected_trackers,1,No
OTC Health Solutions,total_trackers,1,No
OTC Health Solutions,trackers,1,No
Instagram,detected_trackers,1,No
Instagram,total_trackers,1,No
Instagram,trackers,1,No
Blood Pressure App & Tracker,detected_trackers,1,No
Blood Pressure App & Tracker,total_trackers,1,No
Blood Pressure App & Tracker,trackers,1,No
Blood Sugar,detected_trackers,1,No
Blood Sugar,total_trackers,1,No
Blood Sugar,trackers,1,No
One Medical,detected_trackers,1,No
One Medical,total_trackers,1,No
One Medical,trackers,1,No
Pray,detected_trackers,1,No
Pray,total_trackers,1,No
Pray,trackers,1,No
KP,detected_trackers,1,No
KP,total_trackers,1,No
KP,trackers,1,No
YourTexasBenefits,detected_trackers,1,No
YourTexasBenefits,total_trackers,1,No
YourTexasBenefits,trackers,1,No
Accredo,detected_trackers,1,No
Accredo,total_trackers,1,No
Accredo,trackers,1,No
Peloton,detected_trackers,1,No
Peloton,total_trackers,1,No
Peloton,trackers,1,No
My Doctor Online,detected_trackers,1,No
My Doctor Online,total_trackers,1,No
My Doctor Online,trackers,1,No
BloodPressure,detected_trackers,1,No
BloodPressure,total_trackers,1,No
BloodPressure,trackers,1,No
ShutEye,detected_trackers,1,No
ShutEye,total_trackers,1,No
ShutEye,trackers,1,No
VOKA,detected_trackers,1,No
VOKA,total_trackers,1,No
VOKA,trackers,1,No
Teladoc Health Patient,detected_trackers,1,No
Teladoc Health Patient,total_trackers,1,No
Teladoc Health Patient,trackers,1,No
PineApp,detected_trackers,1,No
PineApp,total_trackers,1,No
PineApp,trackers,1,No
BioLife,detected_trackers,1,No
BioLife,total_trackers,1,No
BioLife,trackers,1,No
Headspace,detected_trackers,1,No
Headspace,total_trackers,1,No
Headspace,trackers,1,No
GloryFit,detected_trackers,1,No
GloryFit,total_trackers,1,No
GloryFit,trackers,1,No
Rejoyn,detected_trackers,1,No
Rejoyn,total_trackers,1,No
Rejoyn,trackers,1,No
White Noise Deep Sleep Sounds,detected_trackers,1,No
White Noise Deep Sleep Sounds,total_trackers,1,No
White Noise Deep Sleep Sounds,trackers,1,No
My Memorial Hermann,detected_trackers,1,No
My Memorial Hermann,total_trackers,1,No
My Memorial Hermann,trackers,1,No
 BP Diary,detected_trackers,1,No
 BP Diary,total_trackers,1,No
 BP Diary,trackers,1,No
Blood Sugar,detected_trackers,1,No
Blood Sugar,total_trackers,1,No
Blood Sugar,trackers,1,No
Prescription Scanner,detected_trackers,1,No
Prescription Scanner,total_trackers,1,No
Prescription Scanner,trackers,1,No
CallOnDoc,detected_trackers,1,No
CallOnDoc,total_trackers,1,No
CallOnDoc,trackers,1,No
Doximity,detected_trackers,1,No
Doximity,total_trackers,1,No
Doximity,trackers,1,No
Blood Pressure App,detected_trackers,1,No
Blood Pressure App,total_trackers,1,No
Blood Pressure App,trackers,1,No
Sweet Dream,detected_trackers,1,No
Sweet Dream,total_trackers,1,No
Sweet Dream,trackers,1,No
Oregon ONE Mobile,detected_trackers,1,No
Oregon ONE Mobile,total_trackers,1,No
Oregon ONE Mobile,trackers,1,No
Included Health,detected_trackers,1,No
Included Health,total_trackers,1,No
Included Health,trackers,1,No
UH MyChart,detected_trackers,1,No
UH MyChart,total_trackers,1,No
UH MyChart,trackers,1,No
Heart Rate Health,detected_trackers,1,No
Heart Rate Health,total_trackers,1,No
Heart Rate Health,trackers,1,No
I am,detected_trackers,1,No
I am,total_trackers,1,No
I am,trackers,1,No
PetPage,detected_trackers,1,No
PetPage,total_trackers,1,No
PetPage,trackers,1,No
Curaleaf,detected_trackers,1,No
Curaleaf,total_trackers,1,No
Curaleaf,trackers,1,No
MyQuest,detected_trackers,1,No
MyQuest,total_trackers,1,No
MyQuest,trackers,1,No
StepsApp,detected_trackers,1,No
StepsApp,total_trackers,1,No
StepsApp,trackers,1,No
 Health Tracker,detected_trackers,1,No
 Health Tracker,total_trackers,1,No
 Health Tracker,trackers,1,No
Heart Rate,detected_trackers,1,No
Heart Rate,total_trackers,1,No
Heart Rate,trackers,1,No
Mayo Clinic,detected_trackers,1,No
Mayo Clinic,total_trackers,1,No
Mayo Clinic,trackers,1,No
Ada,detected_trackers,1,No
Ada,total_trackers,1,No
Ada,trackers,1,No
Calorie Counter Food Tracker,detected_trackers,1,No
Calorie Counter Food Tracker,total_trackers,1,No
Calorie Counter Food Tracker,trackers,1,No
Komoot,detected_trackers,1,No
Komoot,total_trackers,1,No
Komoot,trackers,1,No
E-Pedometer,detected_trackers,1,No
E-Pedometer,total_trackers,1,No
E-Pedometer,trackers,1,No
Weight Loss for Women,detected_trackers,1,Yes
Weight Loss for Women,total_trackers,1,Yes
Weight Loss for Women,trackers,1,Yes
Circle Medical,detected_trackers,1,No
Circle Medical,total_trackers,1,No
Circle Medical,trackers,1,No
Visory Health,detected_trackers,1,No
Visory Health,total_trackers,1,No
Visory Health,trackers,1,No
Signia App,detected_trackers,1,No
Signia App,total_trackers,1,No
Signia App,trackers,1,No
myPennMedicine,detected_trackers,1,No
myPennMedicine,total_trackers,1,No
myPennMedicine,trackers,1,No
Fresh Tri,detected_trackers,1,No
Fresh Tri,total_trackers,1,No
Fresh Tri,trackers,1,No
Happy Healthy,detected_trackers,1,No
Happy Healthy,total_trackers,1,No
Happy Healthy,trackers,1,No
MyOchsner,detected_trackers,1,No
MyOchsner,total_trackers,1,No
MyOchsner,trackers,1,No
Quabble,detected_trackers,1,No
Quabble,total_trackers,1,No
Quabble,trackers,1,No
BetterMe,detected_trackers,1,No
BetterMe,total_trackers,1,No
BetterMe,trackers,1,No
Geocaching,detected_trackers,1,No
Geocaching,total_trackers,1,No
Geocaching,trackers,1,No
Natural Cycles,detected_trackers,1,Yes
Natural Cycles,total_trackers,1,Yes
Natural Cycles,trackers,1,Yes
Complete,detected_trackers,1,No
Complete,total_trackers,1,No
Complete,trackers,1,No
Wellcare+,detected_trackers,1,No
Wellcare+,total_trackers,1,No
Wellcare+,trackers,1,No
Blood Sugar Hub,detected_trackers,1,No
Blood Sugar Hub,total_trackers,1,No
Blood Sugar Hub,trackers,1,No
UpToDate,detected_trackers,1,No
UpToDate,total_trackers,1,No
UpToDate,trackers,1,No
My Premise Health,detected_trackers,1,No
My Premise Health,total_trackers,1,No
My Premise Health,trackers,1,No
Telehealth,detected_trackers,1,No
Telehealth,total_trackers,1,No
Telehealth,trackers,1,No
Water Tracker,detected_trackers,1,No
Water Tracker,total_trackers,1,No
Water Tracker,trackers,1,No
Blood Pressure,detected_trackers,1,No
Blood Pressure,total_trackers,1,No
Blood Pressure,trackers,1,No
RevDoc,detected_trackers,1,No
RevDoc,total_trackers,1,No
RevDoc,trackers,1,No
23andMe,detected_trackers,1,No
23andMe,total_trackers,1,No
23andMe,trackers,1,No
iHealth,detected_trackers,1,No
iHealth,total_trackers,1,No
iHealth,trackers,1,No
MyHealth,detected_trackers,1,No
MyHealth,total_trackers,1,No
MyHealth,trackers,1,No
Blood Sugar Tracker,detected_trackers,1,No
Blood Sugar Tracker,total_trackers,1,No
Blood Sugar Tracker,trackers,1,No
EASE,detected_trackers,1,No
EASE,total_trackers,1,No
EASE,trackers,1,No
NightOwl,detected_trackers,1,No
NightOwl,total_trackers,1,No
NightOwl,trackers,1,No
PulsePoint,detected_trackers,1,No
PulsePoint,total_trackers,1,No
PulsePoint,trackers,1,No
98point6,detected_trackers,1,No
98point6,total_trackers,1,No
98point6,trackers,1,No
WeWard,detected_trackers,1,No
WeWard,total_trackers,1,No
WeWard,trackers,1,No
KT Mobile,detected_trackers,1,No
KT Mobile,total_trackers,1,No
KT Mobile,trackers,1,No
OctaApp,detected_trackers,1,No
OctaApp,total_trackers,1,No
OctaApp,trackers,1,No
MyBenefits2GO,detected_trackers,1,No
MyBenefits2GO,total_trackers,1,No
MyBenefits2GO,trackers,1,No
Fit,detected_trackers,1,No
Fit,total_trackers,1,No
Fit,trackers,1,No
BCBSM,detected_trackers,1,No
BCBSM,total_trackers,1,No
BCBSM,trackers,1,No
Lefun Health,detected_trackers,1,No
Lefun Health,total_trackers,1,No
Lefun Health,trackers,1,No
Modento,detected_trackers,1,No
Modento,total_trackers,1,No
Modento,trackers,1,No
MyNovant,detected_trackers,1,No
MyNovant,total_trackers,1,No
MyNovant,trackers,1,No
MyGEHA,detected_trackers,1,No
MyGEHA,total_trackers,1,No
MyGEHA,trackers,1,No
Eaze,detected_trackers,1,No
Eaze,total_trackers,1,No
Eaze,trackers,1,No
Modivcare,detected_trackers,1,No
Modivcare,total_trackers,1,No
Modivcare,trackers,1,No
myVCA,detected_trackers,1,No
myVCA,total_trackers,1,No
myVCA,trackers,1,No
Contour,detected_trackers,1,No
Contour,total_trackers,1,No
Contour,trackers,1,No
Parachute,detected_trackers,1,No
Parachute,total_trackers,1,No
Parachute,trackers,1,No
My IU Health,detected_trackers,1,No
My IU Health,total_trackers,1,No
My IU Health,trackers,1,No
Alpha Progression,detected_trackers,1,No
Alpha Progression,total_trackers,1,No
Alpha Progression,trackers,1,No
Solv,detected_trackers,1,No
Solv,total_trackers,1,No
Solv,trackers,1,No
MyFitnessPal,detected_trackers,1,No
MyFitnessPal,total_trackers,1,No
MyFitnessPal,trackers,1,No
Balance,detected_trackers,1,No
Balance,total_trackers,1,No
Balance,trackers,1,No
Fitbit band - Fitness monitor,detected_trackers,1,No
Fitbit band - Fitness monitor,total_trackers,1,No
Fitbit band - Fitness monitor,trackers,1,No
Allē,detected_trackers,1,No
Allē,total_trackers,1,No
Allē,trackers,1,No
Zocdoc,detected_trackers,1,No
Zocdoc,total_trackers,1,No
Zocdoc,trackers,1,No
Foodvisor,detected_trackers,1,No
Foodvisor,total_trackers,1,No
Foodvisor,trackers,1,No
Welltory,detected_trackers,1,No
Welltory,total_trackers,1,No
Welltory,trackers,1,No
BuzzRx,detected_trackers,1,No
BuzzRx,total_trackers,1,No
BuzzRx,trackers,1,No
Lifesum,detected_trackers,1,No
Lifesum,total_trackers,1,No
Lifesum,trackers,1,No
TigerConnect,detected_trackers,1,No
TigerConnect,total_trackers,1,No
TigerConnect,trackers,1,No
UNC Health,detected_trackers,1,No
UNC Health,total_trackers,1,No
UNC Health,trackers,1,No
MyUPMC,detected_trackers,1,No
MyUPMC,total_trackers,1,No
MyUPMC,trackers,1,No
Home Workout App,detected_trackers,1,No
Home Workout App,total_trackers,1,No
Home Workout App,trackers,1,No
Kardia,detected_trackers,1,No
Kardia,total_trackers,1,No
Kardia,trackers,1,No
MHealth,detected_trackers,1,No
MHealth,total_trackers,1,No
MHealth,trackers,1,No
Lazy Exercise,detected_trackers,1,No
Lazy Exercise,total_trackers,1,No
Lazy Exercise,trackers,1,No
Blood Pressure,detected_trackers,1,No
Blood Pressure,total_trackers,1,No
Blood Pressure,trackers,1,No
Ingenovis,detected_trackers,1,No
Ingenovis,total_trackers,1,No
Ingenovis,trackers,1,No
PillEye,detected_trackers,1,No
PillEye,total_trackers,1,No
PillEye,trackers,1,No
Health Tracker,detected_trackers,1,No
Health Tracker,total_trackers,1,No
Health Tracker,trackers,1,No
RENPHO Health,detected_trackers,1,No
RENPHO Health,total_trackers,1,No
RENPHO Health,trackers,1,No
mybyram,detected_trackers,1,No
mybyram,total_trackers,1,No
mybyram,trackers,1,No
Motivation,detected_trackers,1,No
Motivation,total_trackers,1,No
Motivation,trackers,1,No
Voice Tools,detected_trackers,1,No
Voice Tools,total_trackers,1,No
Voice Tools,trackers,1,No
hers,detected_trackers,1,No
hers,total_trackers,1,No
hers,trackers,1,No
Dear Me,detected_trackers,1,No
Dear Me,total_trackers,1,No
Dear Me,trackers,1,No
LifeMD,detected_trackers,1,No
LifeMD,total_trackers,1,No
LifeMD,trackers,1,No
Oral-B,detected_trackers,1,No
Oral-B,total_trackers,1,No
Oral-B,trackers,1,No
SingleCare,detected_trackers,1,No
SingleCare,total_trackers,1,No
SingleCare,trackers,1,No
Blood Sugar & Pressure Tracker,detected_trackers,1,No
Blood Sugar & Pressure Tracker,total_trackers,1,No
Blood Sugar & Pressure Tracker,trackers,1,No
Flo,detected_trackers,1,Yes
Flo,total_trackers,1,Yes
Flo,trackers,1,Yes
Pedometer,detected_trackers,1,No
Pedometer,total_trackers,1,No
Pedometer,trackers,1,No
JYouPro,detected_trackers,1,No
JYouPro,total_trackers,1,No
JYouPro,trackers,1,No
Kare,detected_trackers,1,No
Kare,total_trackers,1,No
Kare,trackers,1,No
Sanford,detected_trackers,1,No
Sanford,total_trackers,1,No
Sanford,trackers,1,No
Hydro+,detected_trackers,1,No
Hydro+,total_trackers,1,No
Hydro+,trackers,1,No
Medscape,detected_trackers,1,No
Medscape,total_trackers,1,No
Medscape,trackers,1,No
V. Anatomy,detected_trackers,1,No
V. Anatomy,total_trackers,1,No
V. Anatomy,trackers,1,No
Period Tracker,detected_trackers,1,Yes
Period Tracker,total_trackers,1,Yes
Period Tracker,trackers,1,Yes
IHSS EVV Mobile App,detected_trackers,1,No
IHSS EVV Mobile App,total_trackers,1,No
IHSS EVV Mobile App,trackers,1,No
AdventHealth,detected_trackers,1,No
AdventHealth,total_trackers,1,No
AdventHealth,trackers,1,No
Express Scripts,detected_trackers,1,No
Express Scripts,total_trackers,1,No
Express Scripts,trackers,1,No
Fullscript,detected_trackers,1,No
Fullscript,total_trackers,1,No
Fullscript,trackers,1,No
Yoga For Beginners,detected_trackers,1,No
Yoga For Beginners,total_trackers,1,No
Yoga For Beginners,trackers,1,No
Replika,detected_trackers,1,No
Replika,total_trackers,1,No
Replika,trackers,1,No
MyChart,detected_trackers,1,No
MyChart,total_trackers,1,No
MyChart,trackers,1,No
SNAP Resupply,detected_trackers,1,No
SNAP Resupply,total_trackers,1,No
SNAP Resupply,trackers,1,No
Hinge Health,detected_trackers,1,No
Hinge Health,total_trackers,1,No
Hinge Health,trackers,1,No
Hevy,detected_trackers,1,No
Hevy,total_trackers,1,No
Hevy,trackers,1,No
UMR,detected_trackers,1,No
UMR,total_trackers,1,No
UMR,trackers,1,No
Stardust,detected_trackers,1,No
Stardust,total_trackers,1,No
Stardust,trackers,1,No
Kids Workout,detected_trackers,1,No
Kids Workout,total_trackers,1,No
Kids Workout,trackers,1,No
MedStar eVisit,detected_trackers,1,No
MedStar eVisit,total_trackers,1,No
MedStar eVisit,trackers,1,No
HeartEntry,detected_trackers,1,No
HeartEntry,total_trackers,1,No
HeartEntry,trackers,1,No
Baritastic,detected_trackers,1,No
Baritastic,total_trackers,1,No
Baritastic,trackers,1,No
Fig,detected_trackers,1,No
Fig,total_trackers,1,No
Fig,trackers,1,No
My Water Reminder & Alarm,detected_trackers,1,No
My Water Reminder & Alarm,total_trackers,1,No
My Water Reminder & Alarm,trackers,1,No
Human,detected_trackers,1,No
Human,total_trackers,1,No
Human,trackers,1,No
Bend,detected_trackers,1,No
Bend,total_trackers,1,No
Bend,trackers,1,No
Clue,detected_trackers,1,No
Clue,total_trackers,1,No
Clue,trackers,1,No
BetterHelp,detected_trackers,1,No
BetterHelp,total_trackers,1,No
BetterHelp,trackers,1,No
MyTherapy,detected_trackers,1,No
MyTherapy,total_trackers,1,No
MyTherapy,trackers,1,No
Buttocks Trainer,detected_trackers,1,No
Buttocks Trainer,total_trackers,1,No
Buttocks Trainer,trackers,1,No
Banfield,detected_trackers,1,No
Banfield,total_trackers,1,No
